# bench_ret=-7.263740
Symbol,Price (₹),Return (%),Beats Bench,vs Benchmark
HFCL,217.9,183.5,✅,190.76
CPPLUS,3446.3,130.43,✅,137.69
ACUTAAS,3659.6,114.44,✅,121.7
KIRLOSENG,2187.9,107.03,✅,114.29
ATHERENERG,1268.2,101.77,✅,109.03
CEMPRO,1596.6,94.49,✅,101.75
WELCORP,1611.8,76.38,✅,83.64
RRKABEL,2432.4,73.67,✅,80.93
ADANIENSOL,1724.4,72.11,✅,79.37
DATAPATTNS,4782.8,71.29,✅,78.55
AEGISLOG,1351.3,68.98,✅,76.24
J&KBANK,179.82,67.1,✅,74.36
HSCL,768.25,67.08,✅,74.34
SCHNEIDER,1342.3,63.43,✅,70.69
HONASA,456.65,61.9,✅,69.16
LAURUSLABS,1577.8,59.65,✅,66.91
BHARATFORG,2185.5,57.5,✅,64.76
GRANULES,853.8,57.4,✅,64.66
GROWW,203.9,55.26,✅,62.52
THERMAX,4718.5,54.14,✅,61.4
JINDALSAW,265.15,54.01,✅,61.27
ABB,7506.0,53.06,✅,60.32
SYRMA,1363.5,52.7,✅,59.96
APARINDS,13630.0,51.78,✅,59.04
BELRISE,232.3,50.3,✅,57.56
PIRAMALFIN,2146.7,49.78,✅,57.04
MCX,2803.9,48.64,✅,55.9
FEDERALBNK,353.25,47.84,✅,55.1
SONACOMS,726.5,46.43,✅,53.69
POWERINDIA,32055.0,45.59,✅,52.85
BHEL,416.45,45.08,✅,52.34
ACMESOLAR,369.6,44.96,✅,52.22
HINDCOPPER,489.25,44.26,✅,51.52
GVT&D,4481.5,43.29,✅,50.55
ADANIPOWER,216.95,42.75,✅,50.01
LLOYDSME,1871.7,42.13,✅,49.39
EMCURE,1889.2,41.26,✅,48.52
SAILIFE,1250.5,40.45,✅,47.71
BALRAMCHIN,624.75,40.15,✅,47.41
VTL,626.55,40.06,✅,47.32
MAHABANK,79.17,39.61,✅,46.87
ADANIGREEN,1472.3,37.5,✅,44.76
WOCKPHARMA,1861.5,36.85,✅,44.11
ABSLAMC,1002.9,36.07,✅,43.33
MOTHERSON,143.6,35.99,✅,43.25
KARURVYSYA,339.15,35.65,✅,42.91
