date,value
2017-07-12,24.98
2017-07-13,25.17
2017-07-14,25.12
2017-07-15,25.12
2017-07-16,25.12
2017-07-17,25.17
2017-07-18,25.1
2017-07-19,25.28
2017-07-20,25.22
2017-07-21,25.32
2017-07-22,25.32
2017-07-23,25.32
2017-07-24,25.45
2017-07-25,25.45
2017-07-26,25.57
2017-07-27,25.56
2017-07-28,25.56
2017-07-29,25.56
2017-07-30,25.56
2017-07-31,25.69
2017-08-01,25.75
2017-08-02,25.63
2017-08-03,25.5
2017-08-04,25.61
2017-08-05,25.61
2017-08-06,25.61
2017-08-07,25.67
2017-08-08,25.5
2017-08-09,25.31
2017-08-10,25.06
2017-08-11,24.8
2017-08-12,24.8
2017-08-13,24.8
2017-08-14,25.02
2017-08-15,25.02
2017-08-16,25.28
2017-08-17,25.3
2017-08-18,25.1
2017-08-19,25.1
2017-08-20,25.1
2017-08-21,24.99
2017-08-22,25.25
2017-08-23,25.45
2017-08-24,25.47
2017-08-25,25.47
2017-08-26,25.47
2017-08-27,25.47
2017-08-28,25.61
2017-08-29,25.31
2017-08-30,25.54
2017-08-31,25.62
2017-09-01,25.99
2017-09-02,25.99
2017-09-03,25.99
2017-09-04,25.83
2017-09-05,25.97
2017-09-06,25.88
2017-09-07,25.89
2017-09-08,25.9
2017-09-09,25.9
2017-09-10,25.9
2017-09-11,26.11
2017-09-12,26.26
2017-09-13,26.23
2017-09-14,26.25
2017-09-15,26.24
2017-09-16,26.24
2017-09-17,26.24
2017-09-18,26.42
2017-09-19,26.4
2017-09-20,26.39
2017-09-21,26.34
2017-09-22,25.95
2017-09-23,25.95
2017-09-24,25.95
2017-09-25,25.71
2017-09-26,25.71
2017-09-27,25.36
2017-09-28,25.44
2017-09-29,25.43
2017-09-30,25.43
2017-10-01,25.43
2017-10-02,25.43
2017-10-03,25.61
2017-10-04,25.75
2017-10-05,25.69
2017-10-06,25.92
2017-10-07,25.92
2017-10-08,25.92
2017-10-09,25.95
2017-10-10,26.02
2017-10-11,25.94
2017-10-12,26.22
2017-10-13,26.41
2017-10-14,26.41
2017-10-15,26.41
2017-10-16,26.55
2017-10-17,26.52
2017-10-18,26.44
2017-10-19,26.28
2017-10-20,26.28
2017-10-21,26.28
2017-10-22,26.28
2017-10-23,26.37
2017-10-24,26.42
2017-10-25,26.63
2017-10-26,26.73
2017-10-27,26.67
2017-10-28,26.67
2017-10-29,26.67
2017-10-30,26.77
2017-10-31,26.38
2017-11-01,26.49
2017-11-02,26.63
2017-11-03,26.87
2017-11-04,26.87
2017-11-05,26.87
2017-11-06,26.74
2017-11-07,26.48
2017-11-08,26.37
2017-11-09,26.31
2017-11-10,26.35
2017-11-11,26.35
2017-11-12,26.35
2017-11-13,25.99
2017-11-14,25.89
2017-11-15,25.72
2017-11-16,25.96
2017-11-17,26.14
2017-11-18,26.14
2017-11-19,26.14
2017-11-20,26.18
2017-11-21,26.2
2017-11-22,26.4
2017-11-23,26.48
2017-11-24,26.59
2017-11-25,26.59
2017-11-26,26.59
2017-11-27,26.61
2017-11-28,26.53
2017-11-29,26.51
2017-11-30,26.16
2017-12-01,25.9
2017-12-02,25.9
2017-12-03,25.9
2017-12-04,25.91
2017-12-05,25.89
2017-12-06,25.7
2017-12-07,26.01
2017-12-08,26.26
2017-12-09,26.26
2017-12-10,26.26
2017-12-11,26.43
2017-12-12,26.22
2017-12-13,26.1
2017-12-14,26.25
2017-12-15,26.46
2017-12-16,26.46
2017-12-17,26.46
2017-12-18,26.6
2017-12-19,26.79
2017-12-20,26.75
2017-12-21,26.74
2017-12-22,26.86
2017-12-23,26.86
2017-12-24,26.86
2017-12-25,26.86
2017-12-26,26.96
2017-12-27,26.85
2017-12-28,26.82
2017-12-29,26.92
2017-12-30,26.92
2017-12-31,26.92
2018-01-01,26.68
2018-01-02,26.7
2018-01-03,26.7
2018-01-04,26.86
2018-01-05,26.99
2018-01-06,26.99
2018-01-07,26.99
2018-01-08,27.16
2018-01-09,27.19
2018-01-10,27.18
2018-01-11,27.23
2018-01-12,27.28
2018-01-13,27.28
2018-01-14,27.28
2018-01-15,27.06
2018-01-16,26.96
2018-01-17,27.18
2018-01-18,27.25
2018-01-19,27.44
2018-01-20,27.44
2018-01-21,27.44
2018-01-22,27.62
2018-01-23,27.81
2018-01-24,27.66
2018-01-25,27.61
2018-01-26,27.61
2018-01-27,27.61
2018-01-28,27.61
2018-01-29,27.71
2018-01-30,27.51
2018-01-31,27.5
2018-02-01,27.48
2018-02-02,26.04
2018-02-03,26.04
2018-02-04,26.04
2018-02-05,25.78
2018-02-06,25.37
2018-02-07,25.32
2018-02-08,25.56
2018-02-09,25.27
2018-02-10,25.27
2018-02-11,25.27
2018-02-12,25.48
2018-02-13,25.48
2018-02-14,25.37
2018-02-15,25.45
2018-02-16,25.32
2018-02-17,25.32
2018-02-18,25.32
2018-02-19,25.14
2018-02-20,25.09
2018-02-21,25.18
2018-02-22,25.49
2018-02-23,25.75
2018-02-24,25.75
2018-02-25,25.75
2018-02-26,25.95
2018-02-27,25.87
2018-02-28,25.68
2018-03-01,25.59
2018-03-02,25.59
2018-03-03,25.59
2018-03-04,25.59
2018-03-05,25.4
2018-03-06,25.02
2018-03-07,24.79
2018-03-08,25.0
2018-03-09,24.97
2018-03-10,24.97
2018-03-11,24.97
2018-03-12,25.44
2018-03-13,25.45
2018-03-14,25.41
2018-03-15,25.28
2018-03-16,24.87
2018-03-17,24.87
2018-03-18,24.87
2018-03-19,24.61
2018-03-20,24.69
2018-03-21,24.76
2018-03-22,24.67
2018-03-23,24.38
2018-03-24,24.38
2018-03-25,24.38
2018-03-26,24.7
2018-03-27,24.83
2018-03-28,24.66
2018-03-29,24.66
2018-03-30,24.66
2018-03-31,24.66
2018-04-01,24.66
2018-04-02,25.35
2018-04-03,25.43
2018-04-04,25.14
2018-04-05,25.63
2018-04-06,25.65
2018-04-07,25.65
2018-04-08,25.65
2018-04-09,25.76
2018-04-10,25.82
2018-04-11,25.86
2018-04-12,25.96
2018-04-13,26.01
2018-04-14,26.01
2018-04-15,26.01
2018-04-16,26.13
2018-04-17,26.18
2018-04-18,26.13
2018-04-19,26.23
2018-04-20,26.22
2018-04-21,26.22
2018-04-22,26.22
2018-04-23,26.27
2018-04-24,26.35
2018-04-25,26.24
2018-04-26,26.36
2018-04-27,26.54
2018-04-28,26.54
2018-04-29,26.54
2018-04-30,26.66
2018-05-01,26.66
2018-05-02,26.6
2018-05-03,26.51
2018-05-04,26.36
2018-05-05,26.36
2018-05-06,26.36
2018-05-07,26.6
2018-05-08,26.6
2018-05-09,26.66
2018-05-10,26.6
2018-05-11,26.82
2018-05-12,26.82
2018-05-13,26.82
2018-05-14,26.82
2018-05-15,26.81
2018-05-16,26.66
2018-05-17,26.52
2018-05-18,26.27
2018-05-19,26.27
2018-05-20,26.27
2018-05-21,26.08
2018-05-22,26.13
2018-05-23,25.86
2018-05-24,26.07
2018-05-25,26.24
2018-05-26,26.24
2018-05-27,26.24
2018-05-28,27.23
2018-05-29,27.06
2018-05-30,27.01
2018-05-31,27.19
2018-06-01,27.09
2018-06-02,27.09
2018-06-03,27.09
2018-06-04,26.92
2018-06-05,26.83
2018-06-06,27.06
2018-06-07,27.27
2018-06-08,27.27
2018-06-09,27.27
2018-06-10,27.27
2018-06-11,27.47
2018-06-12,27.6
2018-06-13,27.54
2018-06-14,27.42
2018-06-15,27.44
2018-06-16,27.44
2018-06-17,27.44
2018-06-18,26.6
2018-06-19,26.38
2018-06-20,26.52
2018-06-21,26.43
2018-06-22,26.63
2018-06-23,26.63
2018-06-24,26.63
2018-06-25,26.48
2018-06-26,26.02
2018-06-27,25.73
2018-06-28,25.57
2018-06-29,25.9
2018-06-30,25.9
2018-07-01,25.9
2018-07-02,25.76
2018-07-03,25.85
2018-07-04,26.02
2018-07-05,26.69
2018-07-06,26.62
2018-07-07,26.62
2018-07-08,26.62
2018-07-09,26.82
2018-07-10,27.05
2018-07-11,27.2
2018-07-12,27.39
2018-07-13,27.38
2018-07-14,27.38
2018-07-15,27.38
2018-07-16,27.17
2018-07-17,27.35
2018-07-18,27.28
2018-07-19,27.22
2018-07-20,27.36
2018-07-21,27.36
2018-07-22,27.36
2018-07-23,27.54
2018-07-24,27.54
2018-07-25,27.54
2018-07-26,27.54
2018-07-27,27.54
2018-07-28,27.54
2018-07-29,27.54
2018-07-30,27.54
2018-07-31,27.54
2018-08-01,27.54
2018-08-02,27.54
2018-08-03,27.54
2018-08-04,27.54
2018-08-05,27.54
2018-08-06,27.54
2018-08-07,27.54
2018-08-08,27.54
2018-08-09,27.54
2018-08-10,27.54
2018-08-11,27.54
2018-08-12,27.54
2018-08-13,27.54
2018-08-14,27.54
2018-08-15,27.54
2018-08-16,27.54
2018-08-17,27.54
2018-08-18,27.54
2018-08-19,27.54
